Source,Target,Type,weight,book
jqt,ntq,Undirected,20,20
pzl,hfx,Undirected,20,20
rhn,bvb,Undirected,20,20
jqt,nvd,Undirected,20,20
nvd,pzl,Undirected,20,20
jqt,rhn,Undirected,20,20
hfx,bvb,Undirected,20,20
qnr,rzs,Undirected,20,20
rhn,hfx,Undirected,20,20
jqt,xhk,Undirected,20,20
rsh,frs,Undirected,20,20
rsh,rzs,Undirected,20,20
nvd,cmg,Undirected,20,20
rsh,lsr,Undirected,20,20
bvb,ntq,Undirected,20,20
rsh,pzl,Undirected,20,20
cmg,lhk,Undirected,20,20
hfx,ntq,Undirected,20,20
frs,lhk,Undirected,20,20
rhn,xhk,Undirected,20,20
xhk,bvb,Undirected,20,20
cmg,rzs,Undirected,20,20
cmg,qnr,Undirected,20,20
lsr,lhk,Undirected,20,20
pzl,lsr,Undirected,20,20
frs,qnr,Undirected,20,20
xhk,hfx,Undirected,20,20
lsr,rzs,Undirected,20,20
frs,lsr,Undirected,20,20
nvd,lhk,Undirected,20,20
xhk,ntq,Undirected,20,20
cmg,bvb,Undirected,20,20
nvd,qnr,Undirected,20,20
