qgv OR0
shj AND1
jcf OR2
jbp AND3
rbm OR4
qjb OR5
ktf OR6
x32 XOR7
nbc AND8
y42 XOR9
y31 XOR10
y32 AND11
grd XOR12
y39 XOR13
vbj XOR14
tqv XOR15
x34 AND16
y07 AND17
y12 XOR18
fnt AND19
x10 XOR20
wgw AND21
x30 XOR22
bdm XOR23
mtg XOR24
gdn OR25
ttr OR26
jtn AND27
x08 XOR28
dmm OR29
qqd AND30
tqv AND31
ggg XOR32
hff AND33
nqm OR34
x14 AND35
crv XOR36
ftc OR37
bnk XOR38
y30 AND39
qtv AND40
x23 AND41
ndd OR42
x33 AND43
rrh OR44
y40 XOR45
x41 XOR46
jtn XOR47
tpd OR48
y18 AND49
pnd OR50
y26 AND51
vcs XOR52
x03 AND53
rjv OR54
vjn AND55
cph XOR56
jbr AND57
qvh AND58
x25 XOR59
x39 AND60
y44 AND61
y36 XOR62
y03 XOR63
vvj XOR64
vbj AND65
twb OR66
mnv XOR67
y26 XOR68
rkd OR69
y22 XOR70
wvq AND71
mjm XOR72
hvn AND73
cbf XOR74
hdb OR75
dvs OR76
mqk AND77
rfj OR78
wrw XOR79
gdp XOR80
stm AND81
hff XOR82
y44 XOR83
tqq OR84
qgm OR85
dkg XOR86
wrw AND87
hwm AND88
x02 AND89
jfp OR90
y11 AND91
hvd AND92
kqr OR93
y24 XOR94
stw XOR95
tpn AND96
y19 AND97
y38 AND98
pkq OR99
y31 AND100
wwc AND101
y14 XOR102
bst AND103
sht OR104
x05 XOR105
vts OR106
x04 AND107
wjv XOR108
y17 XOR109
x04 XOR110
y01 AND111
x01 XOR112
vdr AND113
jhm AND114
tpv XOR115
cjm XOR116
bqd OR117
x20 XOR118
x08 AND119
cbc XOR120
rgt AND121
wmd XOR122
x23 XOR123
y35 AND124
x43 AND125
fhg XOR126
x12 AND127
y00 AND128
tcw OR129
nhk XOR130
x07 XOR131
vgr OR132
drk AND133
x09 AND134
x22 AND135
wgw XOR136
mtg AND137
qvc AND138
x06 XOR139
tps OR140
fbv XOR141
y41 AND142
x19 XOR143
hcg AND144
wsr XOR145
brq AND146
cjm AND147
y25 AND148
y02 XOR149
y40 AND150
bqv AND151
hvd XOR152
y35 XOR153
x42 AND154
x37 AND155
tjg XOR156
qtv XOR157
jhm XOR158
nwp OR159
y00 XOR160
mrq OR161
x13 AND162
ftr OR163
jbr XOR164
x05 AND165
rsq OR166
mms XOR167
x27 AND168
crv AND169
cqg AND170
pkj XOR171
x28 AND172
jsc OR173
mjm AND174
wnj AND175
y15 XOR176
x20 AND177
tkt XOR178
y13 XOR179
y24 AND180
wtr OR181
ggg AND182
x36 AND183
x29 AND184
ksk AND185
x11 XOR186
tpn XOR187
y43 XOR188
vbd AND189
nnr OR190
x27 XOR191
x28 XOR192
x09 XOR193
vcs AND194
x34 XOR195
ghb AND196
y37 XOR197
x38 XOR198
hjt OR199
vbd XOR200
fbn OR201
x06 AND202
y15 AND203
x33 XOR204
y21 XOR205
snh OR206
y18 XOR207
vqh OR208
y21 AND209
qrg OR210
y10 AND211
x16 AND212
tdc XOR213
wwc XOR214
x17 AND215
jpt XOR216
smr OR217
x16 XOR218
x29 XOR219
bgs AND220
ngw XOR221
dsf OR0
wsr AND1
wgg OR2
grd AND3
sck OR4
qqm OR5
pvt OR6
y32 XOR7
wjv AND8
x42 XOR9
x31 XOR10
x32 AND11
jbp XOR12
x39 XOR13
chb XOR14
www XOR15
y34 AND16
x07 AND17
x12 XOR18
bnk AND19
y10 XOR20
nph AND21
y30 XOR22
hvn XOR23
vnm XOR24
pck OR25
nfj OR26
vtk AND27
y08 XOR28
mmr OR29
cph AND30
www AND31
kbg XOR32
gdg AND33
whj OR34
y14 AND35
cvf XOR36
jjn OR37
fnt XOR38
x30 AND39
dnj AND40
y23 AND41
ncb OR42
y33 AND43
dqs OR44
x40 XOR45
y41 XOR46
vtk XOR47
djn OR48
x18 AND49
hwf OR50
x26 AND51
dtj XOR52
y03 AND53
fgf OR54
tjg AND55
qqd XOR56
ncd AND57
wmd AND58
y25 XOR59
y39 AND60
x44 AND61
x36 XOR62
x03 XOR63
bqv XOR64
chb AND65
dtd OR66
hcg XOR67
x26 XOR68
rmp OR69
x22 XOR70
tkt AND71
gvw XOR72
bdm AND73
vdr XOR74
hmb OR75
mvd OR76
nhk AND77
jgc OR78
hwh XOR79
stm XOR80
gdp AND81
gdg XOR82
x44 XOR83
jjc OR84
mvb OR85
ghb XOR86
hwh AND87
tdc AND88
y02 AND89
mpd OR90
x11 AND91
bmb AND92
jsj OR93
x24 XOR94
bgs XOR95
wcn AND96
x19 AND97
x38 AND98
vbc OR99
x31 AND100
nvv AND101
x14 XOR102
pkj AND103
fhh OR104
y05 XOR105
rvc OR106
y04 AND107
nbc XOR108
x17 XOR109
y04 XOR110
x01 AND111
y01 XOR112
cbf AND113
wst AND114
drk XOR115
rws XOR116
hns OR117
y20 XOR118
y08 AND119
cqg XOR120
fbv AND121
qvh XOR122
y23 XOR123
x35 AND124
y43 AND125
wnj XOR126
y12 AND127
x00 AND128
jms OR129
mqk XOR130
y07 XOR131
tjm OR132
tpv AND133
y09 AND134
y22 AND135
nph XOR136
vnm AND137
mms AND138
y06 XOR139
jdr OR140
rgt XOR141
x41 AND142
y19 XOR143
mnv AND144
shj XOR145
jpt AND146
rws AND147
x25 AND148
x02 XOR149
x40 AND150
vvj AND151
bmb XOR152
x35 XOR153
y42 AND154
y37 AND155
vjn XOR156
dnj XOR157
wst XOR158
gws OR159
x00 XOR160
wqs OR161
y13 AND162
dkn OR163
ncd XOR164
y05 AND165
cfk OR166
qvc XOR167
